seed,nnet,subfolder,set_state,which_simulation,drones,file,redflags,charger_option,hysteresis,active_drones,total_damage,alive_drone_rate,damage_rate,charger_capacity
42,default,local_only,SetState.use_set_state_minimal,slowProb,4,4drones-lower-resolution,RedflagsEnum.answer,3,none,4,82,1.0,0.351931330472103,3
9995,default,111100,SetState.use_set_state_minimal,slowPoints,10,10drones,RedflagsEnum.answer,3,none,4,288,0.4,0.3057324840764331,1
9995,default,111100,SetState.use_set_state_minimal,slowPoints,4,4drones-lower-resolution,RedflagsEnum.answer,3,none,0,4,0.0,0.017167381974248927,3
9995,default,111100,SetState.use_set_state_minimal,slowPoints,6,s3-2,RedflagsEnum.answer,3,none,6,7,1.0,0.0075675675675675675,1
9995,default,111100,SetState.use_set_state_minimal,slowPoints,6,s3-3,RedflagsEnum.answer,3,none,6,2,1.0,0.003305785123966942,1
9995,default,111100,SetState.use_set_state_minimal,slowPoints,9,s1-3,RedflagsEnum.answer,3,none,4,470,0.4444444444444444,1.0,1
9995,default,111100,SetState.use_set_state_minimal,slowProb,4,4drones-lower-resolution,RedflagsEnum.answer,3,none,0,4,0.0,0.017167381974248927,3
9995,default,111100,SetState.use_set_state_minimal,slowProb,6,s3-2,RedflagsEnum.answer,3,none,6,2,1.0,0.002162162162162162,1
9995,default,111100,SetState.use_set_state_minimal,slowProb,6,s3-3,RedflagsEnum.answer,3,none,6,12,1.0,0.019834710743801654,1
9995,default,111100,SetState.use_set_state_minimal,slowProb,9,s1-3,RedflagsEnum.answer,3,none,4,470,0.4444444444444444,1.0,1
9995-wrong-assigns,default,111100,SetState.use_set_state_minimal,slowPoints,4,4drones-lower-resolution,RedflagsEnum.answer,3,none,0,4,0.0,0.017167381974248927,3
9995-wrong-assigns,default,111100,SetState.use_set_state_minimal,slowPoints,6,s3-2,RedflagsEnum.answer,3,none,6,7,1.0,0.0075675675675675675,1
9995-wrong-assigns,default,111100,SetState.use_set_state_minimal,slowPoints,6,s3-3,RedflagsEnum.answer,3,none,6,11,1.0,0.01818181818181818,1
9995-wrong-assigns,default,111100,SetState.use_set_state_minimal,slowPoints,9,s1-3,RedflagsEnum.answer,3,none,4,470,0.4444444444444444,1.0,1
9995-wrong-assigns,default,111100,SetState.use_set_state_minimal,slowProb,10,10drones,RedflagsEnum.answer,3,none,3,814,0.3,0.8641188959660298,1
9995-wrong-assigns,default,111100,SetState.use_set_state_minimal,slowProb,4,4drones-lower-resolution,RedflagsEnum.answer,3,none,0,4,0.0,0.017167381974248927,3
9995-wrong-assigns,default,111100,SetState.use_set_state_minimal,slowProb,6,s3-2,RedflagsEnum.answer,3,none,6,5,1.0,0.005405405405405406,1
9995-wrong-assigns,default,111100,SetState.use_set_state_minimal,slowProb,6,s3-3,RedflagsEnum.answer,3,none,6,12,1.0,0.019834710743801654,1
9995-wrong-assigns,default,111100,SetState.use_set_state_minimal,slowProb,9,s1-3,RedflagsEnum.answer,3,none,4,470,0.4444444444444444,1.0,1
None,default,local_only,SetState.use_set_state_minimal,slowProb,4,4drones-lower-resolution,RedflagsEnum.answer,3,none,2,57,0.5,0.2446351931330472,3
